,station,start_date,tree_size,number_of_trees,shingle_size,anomaly_score_threshold,mathews_correlation_coefficient,runtime,accuracy
0,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,200,3,590,0,176.512178830306,0.999650017499125
1,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,5000,100,1,590,0,74.8083367943764,0.999200039998
2,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,20000,100,5,590,0,524.212142086029,0.998450077496125
3,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,20000,100,3,590,0,512.371251936753,0.998950052497375
4,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,200,1,590,0,161.327431499958,0.9998000099995
5,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,20000,100,1,590,0,502.479664154847,0.9994000299985
6,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,10000,150,5,590,0,266.234992651145,0.999050047497625
7,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,200,5,590,0,190.395020083586,0.999850007499625
8,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,20000,200,5,590,0,1060.58617575169,0.998350082495875
9,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,15000,100,3,590,0,335.471688115597,0.99750012499375
10,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,10000,150,1,590,0,255.320605965455,0.999350032498375
11,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,15000,100,5,590,0,346.083578916391,0.998800059997
12,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,15000,100,3,590,0,338.980731980006,0.99890005499725
13,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,15000,100,1,590,0,325.013623261452,0.999550022498875
14,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,150,5,590,0,132.967506480217,0.99990000499975
15,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,10000,150,3,590,0,255.737726895014,0.998850057497125
16,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,5000,150,3,590,0,130.087660455704,0.999650017499125
17,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,15000,150,1,590,0,492.188334834576,0.999550022498875
18,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,5000,150,3,590,0,137.952922519048,0.999250037498125
